
May 31 21:50:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:50:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:50:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:50:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:50:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:50:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:50:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:50:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:51:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:52:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
